"row_id","age","gender","education_level","job_title","years_of_experience","salary"
166,46,"Male","Master's","Senior Project Manager",19,140000
167,30,"Female","Bachelor's","Junior Marketing Manager",4,50000
168,36,"Male","Bachelor's","Junior Data Analyst",7,60000
169,29,"Female","Bachelor's","Junior Marketing Analyst",2,40000
170,43,"Female","Master's","Senior Product Marketing Manager",14,120000
171,36,"Male","Bachelor's","Senior Operations Manager",9,100000
172,28,"Male","Bachelor's","Junior Business Analyst",2,40000
173,43,"Female","PhD","Senior Data Scientist",15,150000
174,30,"Female","PhD","Data Scientist",7,185000
175,32,"Male","Bachelor's","Junior Marketing Coordinator",3,55000
176,32,"Male","Bachelor's","Software Engineer",8,190000
177,27,"Male","Bachelor's","Software Engineer",4,140000
178,38,"Female","Bachelor's","Senior Business Analyst",10,110000
179,33,"Female","Master's","Product Manager",11,198000
180,48,"Male","Master's","Director of Marketing",21,180000
181,24,"Male","Bachelor's","Data Analyst",1,90000
182,27,"Male","Bachelor's","Software Engineer",4,140000
183,34,"Female","Master's","Product Manager",12,196000
184,25,"Female","Bachelor's","Data Analyst",2,110000
185,41,"Female","Master's","Senior Marketing Manager",13,110000
186,31,"Female","Bachelor's","Junior Business Development Associate",3,50000
187,30,"Female","PhD","Data Scientist",7,185000
188,33,"Male","Bachelor's","Junior Software Developer",5,50000
189,40,"Male","Bachelor's","Senior Financial Analyst",12,130000
190,31,"Male","Bachelor's","Data Analyst",9,195000
191,45,"Female","PhD","Senior UX Designer",16,160000
192,28,"Female","Bachelor's","Software Engineer",5,160000
193,23,"Male","Bachelor's","Data Analyst",1,95000
194,26,"Male","Bachelor's","Data Analyst",3,130000
195,32,"Female","PhD","Data Scientist",10,193000
196,29,"Female","Master's","Data Scientist",6,180000
197,32,"Male","Bachelor's","Software Engineer",8,190000
198,33,"Female","Master's","Product Manager",11,198000
199,24,"Male","Bachelor's","Data Analyst",1,90000
200,27,"Male","Bachelor's","Software Engineer",4,140000
201,25,"Female","Bachelor's","Data Analyst",2,110000
202,30,"Female","PhD","Data Scientist",7,185000
203,47,"Male","Bachelor's","Senior Sales Manager",20,135000
204,31,"Male","Bachelor's","Data Analyst",9,195000
205,29,"Male","Bachelor's","Software Engineer",6,175000
206,28,"Female","Bachelor's","Software Engineer",5,160000
207,33,"Male","Bachelor's","Junior Product Manager",4,60000
208,30,"Female","Bachelor's","Product Manager",5,160000
209,26,"Male","Bachelor's","Data Analyst",3,130000
210,25,"Female","Master's","Junior Marketing Specialist",2,40000
211,36,"Female","Bachelor's","Senior Marketing Manager",8,95000
212,26,"Male","Bachelor's","Data Analyst",3,130000
213,29,"Female","Master's","Data Scientist",6,180000
214,34,"Male","Bachelor's","Senior Business Analyst",8,90000
215,47,"Male","Master's","Director of Operations",19,170000
216,31,"Female","Master's","Data Scientist",6,180000
217,32,"Male","Bachelor's","Software Engineer",8,190000
218,29,"Female","Bachelor's","Junior Project Manager",2,40000
219,33,"Female","Master's","Product Manager",11,198000
220,28,"Male","Bachelor's","Software Engineer",5,160000
221,34,"Male","Bachelor's","Senior Operations Coordinator",7,90000
222,24,"Male","Bachelor's","Data Analyst",1,90000
223,44,"Female","PhD","Senior Business Analyst",15,150000
224,27,"Male","Bachelor's","Software Engineer",4,140000
225,33,"Male","Bachelor's","Junior Marketing Specialist",5,70000
226,33,"Female","Master's","Product Manager",11,198000
227,24,"Male","Bachelor's","Data Analyst",1,90000
228,42,"Female","PhD","Senior Data Scientist",16,150000
229,30,"Female","PhD","Data Scientist",7,185000
230,31,"Male","Bachelor's","Junior Project Manager",4,60000
231,25,"Female","Bachelor's","Data Analyst",2,110000
232,38,"Female","Bachelor's","Senior Accountant",10,80000
233,35,"Female","Bachelor's","Senior Financial Manager",8,90000
234,30,"Female","PhD","Data Scientist",7,185000
235,45,"Male","Master's","Director of Sales",19,175000
236,31,"Male","Bachelor's","Data Analyst",9,195000
237,29,"Female","Bachelor's","Junior Recruiter",3,45000
238,28,"Female","Bachelor's","Software Engineer",5,160000
239,36,"Male","Master's","Senior Business Development Manager",11,120000
240,26,"Male","Bachelor's","Data Analyst",3,130000
241,43,"Female","PhD","Senior Product Designer",18,140000
242,29,"Female","Master's","Data Scientist",6,180000
243,32,"Male","Bachelor's","Software Engineer",8,190000
244,33,"Female","Master's","Product Manager",11,198000
245,24,"Male","Bachelor's","Data Analyst",1,90000
246,27,"Male","Bachelor's","Software Engineer",4,140000
247,26,"Male","Bachelor's","Junior Customer Support Specialist",2,35000
248,25,"Female","Bachelor's","Data Analyst",2,110000
249,30,"Female","PhD","Data Scientist",7,185000
250,31,"Male","Bachelor's","Data Analyst",9,195000
251,28,"Female","Bachelor's","Software Engineer",5,160000
252,37,"Female","Master's","Senior Marketing Analyst",9,95000
253,26,"Male","Bachelor's","Data Analyst",3,130000
254,44,"Male","Bachelor's","Senior IT Support Specialist",14,110000
255,29,"Female","Master's","Data Scientist",6,180000
256,43,"Male","Master's","Director of Marketing",18,170000
257,32,"Male","Bachelor's","Software Engineer",8,190000
258,33,"Female","Master's","Product Manager",11,198000
259,31,"Female","Bachelor's","Junior Financial Analyst",3,50000
260,24,"Male","Bachelor's","Data Analyst",1,90000
261,41,"Male","Bachelor's","Senior Product Manager",14,150000
262,27,"Male","Bachelor's","Software Engineer",4,140000
263,44,"Female","PhD","Senior Data Engineer",16,160000
264,25,"Female","Bachelor's","Data Analyst",2,110000
265,33,"Male","Bachelor's","Junior Business Analyst",4,60000
266,35,"Female","Bachelor's","Senior Marketing Analyst",8,85000
267,30,"Female","PhD","Data Scientist",7,185000
268,45,"Male","Master's","Director of Engineering",19,180000
269,32,"Female","Bachelor's","Junior Financial Analyst",5,50000
270,31,"Male","Bachelor's","Data Analyst",9,195000
271,28,"Female","Bachelor's","Junior Operations Manager",1,35000
272,28,"Female","Bachelor's","Software Engineer",5,160000
273,36,"Male","Bachelor's","Senior Business Development Manager",8,110000
274,26,"Male","Bachelor's","Data Analyst",3,130000
275,33,"Male","Master's","Senior Operations Manager",7,115000
276,29,"Female","Master's","Data Scientist",6,180000
277,51,"Female","PhD","Director of Human Resources",23,185000
278,32,"Male","Bachelor's","Software Engineer",8,190000
279,28,"Male","Bachelor's","Junior Software Engineer",2,40000
280,39,"Female","Bachelor's","Senior Sales Representative",12,90000
281,44,"Female","PhD","Senior Data Scientist",16,160000
282,33,"Female","Master's","Product Manager",11,198000
283,24,"Male","Bachelor's","Data Analyst",1,90000
284,27,"Male","Bachelor's","Software Engineer",4,140000
285,25,"Female","Bachelor's","Data Analyst",2,110000
286,30,"Female","PhD","Data Scientist",7,185000
287,31,"Male","Bachelor's","Data Analyst",9,195000
288,28,"Female","Bachelor's","Software Engineer",5,160000
289,26,"Male","Bachelor's","Data Analyst",3,130000
290,27,"Male","Bachelor's","Software Engineer",4,140000
291,34,"Female","Master's","Product Manager",12,196000
292,25,"Male","Bachelor's","Data Analyst",2,110000
293,29,"Female","Master's","Data Scientist",6,180000
294,29,"Female","Master's","Data Scientist",6,180000
295,32,"Male","Bachelor's","Software Engineer",8,190000
296,33,"Female","Master's","Product Manager",11,198000
297,24,"Male","Bachelor's","Data Analyst",1,90000
298,27,"Male","Bachelor's","Software Engineer",4,140000
299,48,"Male","Master's","Director of Product Management",21,175000
300,25,"Female","Bachelor's","Data Analyst",2,110000
301,32,"Male","Bachelor's","Software Engineer",8,190000
302,30,"Female","Bachelor's","Junior Copywriter",3,45000
303,30,"Female","PhD","Data Scientist",7,185000
304,27,"Female","Bachelor's","Product Manager",4,150000
305,35,"Male","Bachelor's","Senior Marketing Coordinator",7,80000
306,31,"Male","Bachelor's","Data Analyst",9,195000
307,28,"Female","Bachelor's","Software Engineer",5,160000
308,31,"Male","Bachelor's","Junior Marketing Coordinator",3,55000
309,38,"Female","Bachelor's","Senior Business Analyst",10,110000
310,48,"Male","Master's","Director of Marketing",21,180000
311,41,"Female","Master's","Senior Human Resources Manager",13,120000
312,31,"Female","Bachelor's","Junior Business Development Associate",3,50000
313,33,"Male","Master's","Product Manager",11,198000
314,27,"Male","Bachelor's","Junior Business Development Associate",2,35000
315,40,"Male","Bachelor's","Senior Financial Analyst",12,130000
316,26,"Female","Bachelor's","Data Analyst",3,130000
317,40,"Female","Bachelor's","Senior Account Manager",14,110000
318,46,"Male","PhD","Senior Researcher",18,150000
319,30,"Male","PhD","Data Scientist",7,185000
320,45,"Female","PhD","Senior UX Designer",16,160000
321,31,"Female","Bachelor's","Junior HR Coordinator",4,50000
322,27,"Female","Bachelor's","Software Engineer",4,140000
323,33,"Male","Bachelor's","Junior Product Manager",4,60000
324,34,"Male","Master's","Senior Software Engineer",9,105000
325,34,"Male","Master's","Product Manager",12,196000
326,25,"Female","Bachelor's","Data Analyst",2,110000
327,36,"Female","Bachelor's","Senior Marketing Manager",8,95000
328,47,"Male","Master's","Director of Operations",19,170000
329,32,"Male","Bachelor's","Software Engineer",8,190000
330,29,"Female","Bachelor's","Junior Project Manager",2,40000
331,50,"Female","Master's","Director of Finance",20,180000
332,29,"Female","Master's","Data Scientist",6,180000
333,29,"Male","Bachelor's","Junior Marketing Coordinator",2,40000
334,43,"Male","Bachelor's","Senior Project Manager",16,140000
335,26,"Female","Master's","Junior Data Scientist",2,45000
336,34,"Male","Bachelor's","Senior Operations Coordinator",7,90000
337,44,"Female","PhD","Senior Business Analyst",15,150000
338,35,"Male","Bachelor's","Senior Operations Analyst",7,85000
339,33,"Male","Bachelor's","Junior Marketing Specialist",5,70000
340,42,"Female","PhD","Senior Marketing Manager",18,140000
341,35,"Female","Bachelor's","Senior Financial Manager",8,90000
342,31,"Male","Bachelor's","Junior Accountant",4,50000
343,43,"Male","Master's","Director of Marketing",18,170000
344,30,"Male","Bachelor's","Data Analyst",5,160000
345,38,"Female","Bachelor's","Senior Human Resources Coordinator",10,80000
346,31,"Female","Bachelor's","Junior Financial Analyst",3,50000
347,46,"Male","Master's","Director of Operations",20,170000
348,29,"Female","Bachelor's","Junior Sales Representative",2,40000
349,37,"Male","Master's","Senior Business Analyst",9,105000
350,33,"Female","Master's","Product Manager",11,198000
351,44,"Female","PhD","Senior UX Designer",15,145000
352,24,"Male","Bachelor's","Data Analyst",1,90000
353,41,"Male","Bachelor's","Senior Product Manager",14,150000
354,27,"Male","Bachelor's","Junior Product Manager",2,40000
355,31,"Female","PhD","Data Scientist",9,195000
356,31,"Male","Bachelor's","Data Analyst",9,195000
357,36,"Female","Bachelor's","Senior Marketing Specialist",8,85000
358,44,"Female","PhD","Senior Data Engineer",16,160000
359,28,"Male","Bachelor's","Software Engineer",5,160000
360,28,"Female","Bachelor's","Software Engineer",5,160000
361,33,"Male","Bachelor's","Junior Business Analyst",4,60000
362,27,"Female","Bachelor's","Product Manager",4,150000
363,35,"Female","Bachelor's","Senior Marketing Analyst",8,85000
364,43,"Male","Bachelor's","Senior IT Project Manager",14,130000
365,33,"Female","Master's","Senior Financial Analyst",6,95000
366,34,"Male","Bachelor's","Senior Quality Assurance Analyst",9,100000
367,26,"Male","Bachelor's","Data Analyst",3,130000
368,43,"Male","Master's","Director of Operations",19,170000
369,29,"Female","Master's","Data Scientist",6,180000
370,26,"Male","Bachelor's","Data Analyst",3,130000
371,29,"Female","Bachelor's","Junior Project Manager",2,40000
372,32,"Male","Bachelor's","Software Engineer",8,190000
373,29,"Female","Master's","Data Scientist",6,180000
374,50,"Female","PhD","Director of Sales and Marketing",22,180000
375,34,"Male","Bachelor's","Senior Operations Coordinator",7,90000
376,32,"Male","Bachelor's","Software Engineer",8,190000
377,33,"Female","Master's","Product Manager",11,198000
378,28,"Male","Bachelor's","Junior Operations Analyst",2,35000
379,44,"Female","PhD","Senior Business Analyst",15,150000
380,24,"Male","Bachelor's","Data Analyst",1,90000
381,39,"Female","Bachelor's","Senior Account Executive",12,95000
382,47,"Male","Master's","Director of Business Development",19,170000
383,27,"Male","Bachelor's","Software Engineer",4,140000
384,30,"Female","Bachelor's","Junior Social Media Manager",3,45000
385,25,"Female","Bachelor's","Data Analyst",2,110000
386,34,"Male","Bachelor's","Senior Product Manager",7,95000
387,30,"Female","PhD","Data Scientist",7,185000
388,31,"Male","Master's","Data Scientist",6,160000
389,40,"Female","Master's","Senior Human Resources Specialist",13,120000
390,28,"Male","Bachelor's","Junior Business Analyst",2,40000
391,28,"Female","Bachelor's","Software Engineer",3,125000
392,33,"Female","Master's","Product Manager",11,198000
393,26,"Male","Master's","Product Manager",2,120000
394,25,"Male","Bachelor's","Data Analyst",2,110000
395,27,"Female","Bachelor's","Data Analyst",2,110000
396,30,"Female","PhD","Data Scientist",7,185000
397,30,"Male","PhD","Data Scientist",5,180000
398,27,"Male","Bachelor's","Software Engineer",4,140000
399,31,"Male","Bachelor's","Data Analyst",9,195000
400,34,"Female","Master's","Product Manager",12,196000
401,28,"Female","Bachelor's","Software Engineer",5,160000
402,41,"Female","Bachelor's","Senior Marketing Coordinator",11,90000
403,25,"Male","Bachelor's","Data Analyst",3,135000
404,31,"Male","Bachelor's","Data Analyst",9,195000
405,45,"Male","PhD","Senior Data Analyst",17,155000
406,32,"Male","Bachelor's","Software Engineer",8,190000
407,28,"Female","Bachelor's","Software Engineer",5,160000
408,32,"Female","Bachelor's","Junior Account Manager",5,55000
409,29,"Female","Master's","Data Scientist",6,180000
410,26,"Male","Bachelor's","Data Analyst",3,130000
411,35,"Male","Master's","Senior Software Developer",9,110000
412,30,"Male","Bachelor's","Data Analyst",5,160000
413,29,"Female","Master's","Data Scientist",6,180000
414,49,"Female","Master's","Director of Human Capital",21,180000
415,24,"Male","Bachelor's","Data Analyst",1,95000
416,30,"Male","Bachelor's","Junior Advertising Coordinator",3,45000
417,33,"Female","Master's","Product Manager",11,196000
418,44,"Male","Bachelor's","Senior Sales Manager",16,130000
419,27,"Male","Bachelor's","Software Engineer",4,140000
420,27,"Female","Master's","Junior UX Designer",2,45000
421,32,"Male","Bachelor's","Software Engineer",8,190000
422,36,"Male","Bachelor's","Senior Accountant",7,90000
423,26,"Male","Bachelor's","Data Analyst",3,130000
424,30,"Female","PhD","Data Scientist",7,185000
425,33,"Female","Master's","Product Manager",11,198000
426,41,"Female","PhD","Senior Marketing Director",17,160000
427,24,"Male","Bachelor's","Data Analyst",1,90000
428,27,"Male","Bachelor's","Software Engineer",4,140000
429,25,"Female","Bachelor's","Data Analyst",2,110000
430,31,"Male","Bachelor's","Data Analyst",9,195000
431,30,"Female","PhD","Data Scientist",7,185000
432,28,"Female","Bachelor's","Software Engineer",5,160000
433,31,"Male","Bachelor's","Data Analyst",9,195000
434,26,"Female","Bachelor's","Data Analyst",3,130000
435,28,"Female","Bachelor's","Software Engineer",5,160000
436,30,"Male","PhD","Data Scientist",7,185000
437,27,"Female","Bachelor's","Product Manager",4,150000
438,24,"Male","Bachelor's","Data Analyst",1,90000
439,26,"Male","Bachelor's","Data Analyst",3,130000
440,29,"Female","Bachelor's","Software Engineer",4,140000
441,29,"Female","Master's","Data Scientist",6,180000
442,32,"Male","Bachelor's","Product Manager",7,170000
443,33,"Male","Master's","Product Manager",11,198000
444,25,"Male","Bachelor's","Data Analyst",2,115000
445,28,"Male","Bachelor's","Software Engineer",5,165000
446,26,"Male","Bachelor's","Data Analyst",3,130000
447,25,"Female","Master's","Data Analyst",1,100000
448,33,"Male","PhD","Data Scientist",8,190000
449,29,"Female","Master's","Data Scientist",6,180000
450,32,"Male","Bachelor's","Software Engineer",8,190000
451,33,"Female","Master's","Product Manager",11,198000
452,27,"Male","Bachelor's","Software Engineer",4,140000
453,31,"Female","Bachelor's","Software Engineer",6,155000
454,31,"Female","Master's","Data Scientist",6,180000
455,32,"Male","Bachelor's","Software Engineer",8,190000
456,28,"Male","Master's","Product Manager",3,130000
457,33,"Female","Master's","Product Manager",11,198000
458,30,"Female","Bachelor's","Data Analyst",5,145000
459,27,"Male","PhD","Data Scientist",2,115000
460,29,"Female","Bachelor's","Software Engineer",4,140000
461,30,"Male","Bachelor's","Data Analyst",5,160000
462,24,"Male","Bachelor's","Data Analyst",1,92000
463,24,"Male","Bachelor's","Data Analyst",1,90000
464,28,"Female","Bachelor's","Software Engineer",5,160000
465,27,"Male","Bachelor's","Software Engineer",4,140000
466,26,"Male","Bachelor's","Data Analyst",3,130000
467,25,"Female","Bachelor's","Data Analyst",2,110000
468,32,"Male","Bachelor's","Software Engineer",8,190000
469,30,"Female","PhD","Data Scientist",7,185000
470,33,"Female","Master's","Product Manager",11,198000
471,31,"Male","Bachelor's","Data Analyst",9,195000
472,31,"Male","Bachelor's","Junior HR Generalist",4,50000
473,39,"Female","Bachelor's","Senior Operations Manager",10,120000
474,47,"Male","Master's","Director of Finance",20,170000
475,25,"Male","Bachelor's","Data Analyst",2,110000
476,30,"Female","Bachelor's","Junior Marketing Coordinator",2,40000
477,34,"Male","Bachelor's","Product Manager",9,185000
478,30,"Female","PhD","Data Scientist",7,185000
479,38,"Male","Master's","Senior IT Consultant",9,110000
480,25,"Female","Master's","Data Analyst",1,100000
481,45,"Female","PhD","Senior Product Designer",15,150000
482,33,"Male","PhD","Data Scientist",8,190000
483,28,"Male","Bachelor's","Junior Business Development Associate",2,40000
484,28,"Female","Bachelor's","Software Engineer",5,160000
485,27,"Male","Bachelor's","Software Engineer",4,140000
486,34,"Female","Master's","Product Manager",12,196000
487,26,"Male","Bachelor's","Data Analyst",3,130000
488,31,"Male","Bachelor's","Data Analyst",9,195000
489,29,"Female","Master's","Data Scientist",6,180000
490,35,"Female","Bachelor's","Senior Marketing Analyst",8,85000
491,28,"Female","Bachelor's","Software Engineer",5,160000
492,32,"Male","Bachelor's","Software Engineer",8,190000
493,44,"Male","Bachelor's","Senior Software Engineer",14,130000
494,26,"Male","Bachelor's","Data Analyst",3,130000
495,31,"Female","Bachelor's","Software Engineer",6,155000
496,33,"Female","Master's","Product Manager",11,198000
497,34,"Female","Master's","Senior Financial Advisor",6,100000
498,29,"Female","Master's","Data Scientist",6,180000
499,28,"Male","Master's","Product Manager",3,130000
500,32,"Male","Bachelor's","Software Engineer",8,190000
501,30,"Female","Bachelor's","Data Analyst",5,145000
502,33,"Female","Master's","Product Manager",11,198000
503,24,"Male","Bachelor's","Data Analyst",1,90000
504,28,"Male","Bachelor's","Software Engineer",3,125000
505,35,"Male","Bachelor's","Senior Project Coordinator",9,95000
506,26,"Female","Master's","Product Manager",2,120000
507,27,"Male","Bachelor's","Software Engineer",4,140000
508,27,"Male","Bachelor's","Data Analyst",2,110000
509,25,"Female","Bachelor's","Data Analyst",2,110000
510,24,"Male","Bachelor's","Data Analyst",1,90000
511,30,"Female","PhD","Data Scientist",5,180000
512,29,"Male","Bachelor's","Software Engineer",4,140000
513,32,"Male","Bachelor's","Product Manager",7,170000
514,30,"Female","PhD","Data Scientist",7,185000
515,31,"Male","Bachelor's","Data Analyst",9,195000
516,27,"Male","Bachelor's","Software Engineer",4,140000
